seq_id	loci
@M05522:50:000000000-BW89L:1:1104:9197:26445	TRB
@M05522:50:000000000-BW89L:1:2105:17399:10812	TRB
@M05522:50:000000000-BW89L:1:1101:10391:14424	TRA
@M05522:50:000000000-BW89L:1:1103:18184:22877	TRB
@M05522:50:000000000-BW89L:1:1108:2307:18831	TRB
@M05522:50:000000000-BW89L:1:2114:22319:21128	TRB
@M05522:50:000000000-BW89L:1:2105:6715:18509	TRB
@M05522:50:000000000-BW89L:1:2107:20997:27649	TRB
@M05522:50:000000000-BW89L:1:1104:6077:15411	TRA
@M05522:50:000000000-BW89L:1:2109:13938:26296	TRB
@M05522:50:000000000-BW89L:1:2110:26747:11909	TRB
@M05522:50:000000000-BW89L:1:2113:11559:5203	TRB
@M05522:50:000000000-BW89L:1:2112:14911:25342	TRB
@M05522:50:000000000-BW89L:1:1109:10141:10589	TRB
@M05522:50:000000000-BW89L:1:1104:12800:16953	TRB
@M05522:50:000000000-BW89L:1:2103:6686:18426	TRB
@M05522:50:000000000-BW89L:1:2101:13417:18910	TRB
@M05522:50:000000000-BW89L:1:2112:14176:25407	TRB
@M05522:50:000000000-BW89L:1:1107:7598:26455	TRB
@M05522:50:000000000-BW89L:1:2101:7862:13739	TRB
@M05522:50:000000000-BW89L:1:2113:20590:20969	TRB
@M05522:50:000000000-BW89L:1:2108:9179:23343	TRB
@M05522:50:000000000-BW89L:1:1110:18699:22053	TRB
@M05522:50:000000000-BW89L:1:1113:26909:18105	TRB
@M05522:50:000000000-BW89L:1:1107:28629:18448	TRB
@M05522:50:000000000-BW89L:1:1112:15525:21798	TRB
@M05522:50:000000000-BW89L:1:2102:8567:8746	TRB
@M05522:50:000000000-BW89L:1:1110:9498:6100	TRB
@M05522:50:000000000-BW89L:1:1102:25176:24531	TRA
@M05522:50:000000000-BW89L:1:2102:18812:3901	TRB
@M05522:50:000000000-BW89L:1:1104:5431:12245	TRB
@M05522:50:000000000-BW89L:1:2107:13535:28336	TRB
@M05522:50:000000000-BW89L:1:2112:3717:17465	TRB
@M05522:50:000000000-BW89L:1:2114:11113:5725	TRB
@M05522:50:000000000-BW89L:1:1109:6800:6046	TRB
@M05522:50:000000000-BW89L:1:1114:19398:10533	TRB
@M05522:50:000000000-BW89L:1:2109:21877:17481	TRB
@M05522:50:000000000-BW89L:1:2109:25905:18308	TRB
@M05522:50:000000000-BW89L:1:1114:25127:19318	TRA
@M05522:50:000000000-BW89L:1:1106:19383:28417	TRB
@M05522:50:000000000-BW89L:1:1113:22501:13596	TRB
@M05522:50:000000000-BW89L:1:1107:26668:19849	TRB
@M05522:50:000000000-BW89L:1:1107:27686:17464	TRB
@M05522:50:000000000-BW89L:1:2114:17650:8888	TRB
@M05522:50:000000000-BW89L:1:1105:26015:20783	TRA
